id,GeolocatorID,LocationID,RingID,Sex,BW2014,BW2015,Day2014,Day2015,Lat,Lon,Ele
6,792,ST22,2H99606,Male,15.9 ,15.3 ,2014/5/9,2015/6/5,43.14438201,141.495107,4.977861
7,782,ST27,2H99607,Male,14.4 ,13.8 ,2014/5/9,2015/4/23,43.132588,141.531567,5.333077
1,789,ST4,2H99601,Male,15.0 ,14.3 ,2014/5/8,2015/5/10,43.16711197,141.466186,5.475508
14,806,ST43,2H99614,Male,15.0 ,14.7 ,2014/5/10,2015/5/12,43.124017,141.578272,3.425029
15,810,ST45,2H99615,Male,15.5 ,15.3 ,2014/5/10,2015/5/14,43.12422898,141.579248,3.434221
17,812,ST47,2H99617,Male,14.0 ,14.5 ,2014/5/11,2015/5/11,43.12407098,141.575281,8.257285
18,813,ST47,2H99618,Male,14.7 ,14.5 ,2014/5/11,2015/5/14,43.12407098,141.575281,8.257285
24,787,ST53,2H99624,Male,15.7 ,15.1 ,2014/5/12,2015/5/14,43.12870701,141.58915,10.360339
28,797,ST58,2H99628,Male,15.0 ,14.0 ,2014/5/13,2015/6/29,43.13036101,141.591909,7.509396
41,831,ST6,2H99641,Male,15.4 ,14.8 ,2014/5/15,2015/4/23,43.16814596,141.472949,2.262371
48,826,ST85,2H99647,Male,14.0 ,13.7 ,2014/5/18,2015/6/28,43.12501,141.562056,7.117971
49,827,ST86,2H99648,Male,14.7 ,15.5 ,2014/5/18,2015/5/13,43.12409797,141.564477,4.076595
